Taxa,Actual_Protein,Predicted_Protein,Actual_Oil,Predicted_Oil,Actual_Seedsize,Predicted_Seedsize,Actual_Height,Predicted_Height,Actual_Maturity,Predicted_Maturity
DS11-02154,42.07014251,41.198461390099986,22.52536524,22.246340804200003,20.12446995,18.7126851739,106.7185322,110.33177276,1024.163849,1026.5745190829998
DS11-03165,49.05651891,40.9074400848,26.40276175,22.6966075324,23.79249462,18.871871694400003,106.9057582,108.9886507369,1022.761004,1023.8095355750006
DS11-02141,42.37014251,41.19739994210001,21.90036524,22.386340497300015,17.79946995,17.74295275949999,115.1471036,110.90907622240006,1041.489938,1026.1271529980002
DS11-05011,40.38834214,40.867080463099995,22.06942843,22.1175376768,17.69008997,19.1786504132,95.50706828,99.04760695840001,998.4963225,1014.714152928
DS11-02186,41.09514251,40.9350164979,23.32536524,22.589240559399997,17.94946995,18.84259031879999,104.3934129,107.59345693930001,1041.24743,1024.5183101680007
DS11-05157,43.17014251,41.15263948569997,22.35036524,22.648473653099998,18.42446995,18.149858203099992,111.7185322,108.35643867270007,1023.020992,1017.7578051810001
DS11-03129,42.87014251,41.57452753039999,22.57536524,22.015802204199996,20.09946995,18.76979244,103.5600796,103.65999310530003,1040.74743,1016.5738613229998
DS11-02063,38.1969897,40.09621019089999,21.48239023,21.976914315399995,18.3021163,18.541562467699997,109.3617959,104.18245581600006,1029.228174,1023.4535609380001
DS11-02162,41.94514251,39.87272331269998,22.67536524,22.407210661,20.42446995,19.305722895699994,100.2267462,104.56297593610003,1042.24743,1027.475135404
DS11-02003,38.6469897,40.94244006189999,21.96572356,22.2377573125,16.53544963,18.085862042699997,104.0779955,109.48214630840002,1000.294109,1019.0192891909996
DS11-02026,38.13032304,40.11090308739999,21.71572356,22.271148599999993,16.58544963,18.142819807899997,113.4779955,110.26309799679998,997.3854302,1015.3382550940001
DS11-05058,41.36834214,41.19515024159998,21.34942843,21.75333866640001,20.11008997,19.367579959599997,111.173735,105.24903512980009,1003.162989,1015.4608110120002
DS11-02040,40.06365637,40.87189077330001,20.99905689,21.929134938099992,17.3521163,18.20826107580002,113.5779955,109.11118770869999,1005.627443,1018.0672408579998
